user_id,transaction_id,product_id,price,quantity,timestamp
1067,0,127,329.94,9,2023-01-01 00:00:00
4163,1,150,19.85,7,2023-01-01 01:00:00
3056,2,123,185.05,7,2023-01-01 02:00:00
1025,3,190,159.57,2,2023-01-01 03:00:00
3710,4,167,76.47,9,2023-01-01 04:00:00
1280,5,145,434.44,1,2023-01-01 05:00:00
1341,6,125,18.23,2,2023-01-01 06:00:00
3461,7,199,141.79,7,2023-01-01 07:00:00
4405,8,147,411.58,6,2023-01-01 08:00:00
2155,9,156,396.93,2,2023-01-01 09:00:00
1043,10,189,249.27,9,2023-01-01 10:00:00
3700,11,168,29.8,2,2023-01-01 11:00:00
3202,12,173,418.91,5,2023-01-01 12:00:00
4198,13,130,431.98,6,2023-01-01 13:00:00
3703,14,177,485.42,6,2023-01-01 14:00:00
4330,15,134,359.86,3,2023-01-01 15:00:00
4741,16,121,137.2,8,2023-01-01 16:00:00
2809,17,144,443.07,6,2023-01-01 17:00:00
1062,18,194,349.28,9,2023-01-01 18:00:00
1677,19,133,45.55,1,2023-01-01 19:00:00
4755,20,162,424.12,8,2023-01-01 20:00:00
3386,21,122,81.31,3,2023-01-01 21:00:00
3654,22,162,262.91,7,2023-01-01 22:00:00
3484,23,165,36.5,1,2023-01-01 23:00:00
3240,24,125,235.17,5,2023-01-02 00:00:00
4766,25,127,352.08,8,2023-01-02 01:00:00
2644,26,191,284.51,9,2023-01-02 02:00:00
4707,27,163,297.81,7,2023-01-02 03:00:00
1376,28,174,179.02,2,2023-01-02 04:00:00
4817,29,111,154.36,5,2023-01-02 05:00:00
4500,30,140,215.04,9,2023-01-02 06:00:00
4658,31,101,456.37,4,2023-01-02 07:00:00
2423,32,134,403.52,8,2023-01-02 08:00:00
1641,33,168,276.54,4,2023-01-02 09:00:00
3715,34,149,65.8,7,2023-01-02 10:00:00
3289,35,173,233.69,9,2023-01-02 11:00:00
4714,36,199,34.08,4,2023-01-02 12:00:00
1880,37,145,181.79,8,2023-01-02 13:00:00
2503,38,167,431.2,7,2023-01-02 14:00:00
2406,39,133,34.55,2,2023-01-02 15:00:00
4072,40,105,455.9,7,2023-01-02 16:00:00
4374,41,114,284.67,8,2023-01-02 17:00:00
4555,42,117,64.76,9,2023-01-02 18:00:00
2522,43,147,412.61,8,2023-01-02 19:00:00
2651,44,190,391.38,6,2023-01-02 20:00:00
2613,45,167,470.94,7,2023-01-02 21:00:00
3911,46,158,209.08,8,2023-01-02 22:00:00
3671,47,157,274.58,5,2023-01-02 23:00:00
3090,48,164,273.53,2,2023-01-03 00:00:00
4813,49,183,63.45,7,2023-01-03 01:00:00
4656,50,113,453.55,7,2023-01-03 02:00:00
1396,51,153,147.86,7,2023-01-03 03:00:00
1954,52,133,309.08,3,2023-01-03 04:00:00
3339,53,172,91.43,2,2023-01-03 05:00:00
1053,54,107,425.69,3,2023-01-03 06:00:00
1968,55,114,103.63,8,2023-01-03 07:00:00
1844,56,185,90.34,8,2023-01-03 08:00:00
3318,57,110,465.98,9,2023-01-03 09:00:00
4298,58,149,391.97,6,2023-01-03 10:00:00
3301,59,153,423.97,2,2023-01-03 11:00:00
3192,60,101,493.9,5,2023-01-03 12:00:00
1351,61,156,470.05,7,2023-01-03 13:00:00
4545,62,106,112.17,7,2023-01-03 14:00:00
3401,63,184,199.66,7,2023-01-03 15:00:00
2582,64,188,413.25,1,2023-01-03 16:00:00
4038,65,168,125.55,6,2023-01-03 17:00:00
3129,66,121,278.05,6,2023-01-03 18:00:00
3282,67,121,256.09,8,2023-01-03 19:00:00
3842,68,170,379.89,3,2023-01-03 20:00:00
2587,69,109,13.92,1,2023-01-03 21:00:00
3246,70,194,205.81,7,2023-01-03 22:00:00
4225,71,116,59.66,3,2023-01-03 23:00:00
3606,72,170,394.61,2,2023-01-04 00:00:00
2838,73,195,162.48,1,2023-01-04 01:00:00
4435,74,128,483.36,9,2023-01-04 02:00:00
4025,75,163,423.22,2,2023-01-04 03:00:00
2136,76,159,269.9,8,2023-01-04 04:00:00
4397,77,154,315.82,9,2023-01-04 05:00:00
3125,78,172,310.46,3,2023-01-04 06:00:00
4707,79,167,56.45,9,2023-01-04 07:00:00
1260,80,160,487.16,2,2023-01-04 08:00:00
4502,81,131,193.68,1,2023-01-04 09:00:00
4205,82,173,63.93,5,2023-01-04 10:00:00
4544,83,104,159.16,8,2023-01-04 11:00:00
2874,84,187,144.01,2,2023-01-04 12:00:00
2369,85,132,49.57,4,2023-01-04 13:00:00
1136,86,161,79.19,2,2023-01-04 14:00:00
3918,87,139,331.26,6,2023-01-04 15:00:00
1757,88,177,22.15,1,2023-01-04 16:00:00
3889,89,110,248.05,8,2023-01-04 17:00:00
3603,90,136,423.94,9,2023-01-04 18:00:00
2245,91,153,37.36,6,2023-01-04 19:00:00
1962,92,154,34.34,2,2023-01-04 20:00:00
2229,93,103,94.53,4,2023-01-04 21:00:00
3357,94,155,402.17,7,2023-01-04 22:00:00
4696,95,163,414.38,7,2023-01-04 23:00:00
2660,96,189,79.83,9,2023-01-05 00:00:00
4574,97,126,428.46,5,2023-01-05 01:00:00
3564,98,147,178.56,3,2023-01-05 02:00:00
3544,99,151,445.25,5,2023-01-05 03:00:00
4033,100,144,479.63,9,2023-01-05 04:00:00
3533,101,172,73.92,8,2023-01-05 05:00:00
4110,102,121,145.02,3,2023-01-05 06:00:00
2223,103,130,382.8,2,2023-01-05 07:00:00
2414,104,135,49.09,7,2023-01-05 08:00:00
3793,105,137,161.58,8,2023-01-05 09:00:00
1631,106,160,466.61,3,2023-01-05 10:00:00
3371,107,191,106.13,3,2023-01-05 11:00:00
4855,108,145,32.68,8,2023-01-05 12:00:00
3734,109,110,329.14,8,2023-01-05 13:00:00
3534,110,195,142.39,5,2023-01-05 14:00:00
2695,111,190,329.91,5,2023-01-05 15:00:00
3656,112,169,406.98,8,2023-01-05 16:00:00
2560,113,133,241.43,4,2023-01-05 17:00:00
2045,114,194,20.51,2,2023-01-05 18:00:00
2628,115,114,31.92,1,2023-01-05 19:00:00
3507,116,124,331.93,1,2023-01-05 20:00:00
2627,117,179,258.75,4,2023-01-05 21:00:00
2896,118,107,356.02,2,2023-01-05 22:00:00
1246,119,190,289.3,3,2023-01-05 23:00:00
4122,120,143,80.38,8,2023-01-06 00:00:00
3698,121,196,222.8,8,2023-01-06 01:00:00
